,File Name,Plant,Site,Controller,Controller Count,Date,Day,Month,Year,Back Up Saved,Network/Communication Device,ODA Frost,Immersion Frost,Room Frost/3rd Stage Frost,BST/GMT Start +1HR,Heat Disapation,Panel Lights,Panel Condition,Boiler Lead/Lag,Input Analogue,Input Digital,Output Analogue,Output Digital,Maintenance Analogue,Maintenance Digital,Scheduling,Scheduling Count,Fault Count,Falut,Comments,Recommendation
56,aall\St Patrick's PS Donaghmore - Fail.pdf,Boilerhouse,50-0404A St Patricks PS Donaghmore ,"Trend IQ3 Excite x2, 8UI x2, 4DO, 8DO, 4UI/4AO, EINC,TMN, IQVIEW",8,9-3-2020,9,3,2020,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,24,6,3,17,0,0,"Sch LHS,Sch RHS,Hall,DHW,SMK",5,4,"boiler no.2,boiler no.2,RHS Valve,LHS Manifold","switches isolated and fuses pulled,BEV actuator faulty,actuator/valve poor condition and valve letting by hence,3x teleheads faulty","boiler rep to repiar,replace,replace,replace"
57,aall\St Patrick's PS Magheralin - Pass.pdf,Boilerhouse,50-0412A St Patrick's PS Magheralin ,"Delta eBMGR, iSMA, Touchscreen",3,11-11-2019,11,11,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,8,0,1,6,0,0,"Sch HTG,Sch DHW",2,0,,,
58,aall\St Patrick's PS Mullinahoe - Fail.pdf,Boilerhouse,St Patricks PS Mullanahoe 50-0418A ,Siemens pxc22 + Touchscreen( Sec office),1,8-10-2019,8,10,2019,Un-Satisfactory,Satisfactory,Un-Satisfactory,Un-Satisfactory,Un-Satisfactory,Un-Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,7,8,0,12,0,0,"VT Heating,Storey VT Heating,Hall Heating,DHW,AHU",5,3,"Frost,Back up,heat diss","Appears to be some software for frost but unable to access setpoints of totest properly,No back up on site, if plugged into this controller with out a back up allsoftware could be lost.,no access to this point also, again appears to be some software un boardbut cannont access to test correctly","EA & or CHC to loacte backup set to easr spec,EA & or CHC to loacte backup set to easr spec,EA & or CHC to loacte backup set to easr spec"
59,aall\St Patricks PS Loup - Pass.pdf,Boilerhouse,50-0410A St Patricks PS Loup ,"Delta 1616e,1212,DFM400 +Touchscreen",3,21-1-2020,21,1,2020,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,8,2,2,5,0,0,"Heat,DHW",2,0,,,
60,aall\St Patricks PS Moneymore - Fail.pdf,Boilerhouse,50-0416A St Patricks PS Moneymore ,Odyssey + Keypad,1,21-1-2020,21,1,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,6,2,0,6,0,0,"Zone 1,Zone 2,DHW",3,1,back up,not available,"EA & or CHC to loacte backup set to easr spec,EA & or CHC to loacte backup set to easr spec,EA & or CHC to loacte backup set to easr spec"
61,aall\St Peter's PS Moortown - Fail.pdf,Boilerhouse,50-0428A St Peter's PS Moortown ,"Allen Martin Odyssey,Keypad",2,2-3-2020,2,3,2020,N/A,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,4,2,1,12,0,0,"Heating,DHW 1,DHW 2",3,4,"ODA Sensor,Boiler Flow,DHW Pri Pump 2,3rd stage Frost","reading too High,No sensor on boiler flow header pocket,Keeps tripping,Not Installed","Replace sensor,Recommend to intall new sensor,Investigate C4 Contactor and Pump,Recommend to program in."
62,aall\Tandragee NS - Fail.pdf,Boilerhouse,50-1012A  Tandragee NS ,"Trend IQ220,NDP",2,28-11-2019,28,11,2019,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,N/A,4,4,0,5,0,0,"Heating,DHW",2,1,Lamps,Blown and or poor illumination,replace
63,aall\Tandragee PS - Fail.pdf,Boilerhouse,50-0156A Tandragee PS ,"Priva Blue IDC4, Priva PS70,Touchscreen",3,4-12-2019,4,12,2019,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Un-Satisfactory,Un-Satisfactory,Satisfactory,Un-Satisfactory,Un-Satisfactory,7,5,1,6,0,0,"DHW,Assembly Hall,SMK,School Heating",4,7,Lamps,Blown and or poor illumination,"replace or repair,set up according to the spec requested by EA,repair,source,install,repair,repair"
64,aall\Walker Memorial PS - Fail.pdf,Boilerhouse,50-0166A Walker Memorial Ps ,"Odyssey,Keypad",2,4-2-2020,4,2,2020,Un-Satisfactory,Un-Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,6,2,0,6,0,0,"Zone 1,Zone 2,DHW",3,4,"Frost,no back up,Dhw,zone 1 sensor","no way to test,not available,Resistor used,located behind door and above heating pipe","replace or repair,set up according to the spec requested by EA,repair,source,install,repair,repair"
65,Ashgrove NS\50-1002A Ashgrove NS.pdf,Boilerhouse,Ashgrove NS 50-1002A ,"Trend Excite x 1, Excite 4UI/4AO x 1, IQEView 4 x 1.",3,2-3-2020,2,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,7,8,0,7,0,0,"Heating Sch,DHW",2,2,"LPHW Faults Showing cut outs as on, but pumps removed and 1 single pump installed now.,Fire Alarm Showing as on when it is not.","no way to test,not available,Resistor used,located behind door and above heating pipe","Further Investiagtion,Further Investiagtion"
66,Ballydown PS\50-0018A Ballydown PS Boilerhouse.pdf,Boilerhouse,Ballydown PS 50-0018A ,"IQ251 x 1, 6 x IQ251 Modules, IQ210 x 1, NDP x 1",4,11-3-2020,11,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,16,6,5,13,0,0,"Classroom Htg,Admin Htg,Resources Htg,Multi Purpose Htg",4,3,"DHW Temp Sensor,Classroom 2 Sensor,Panel Lamps","Sensor Faulty,Reading incorrectly,Poor condition","Replace,Replace,Replace"
67,Banbridge HS\50-2004A Banbridge HS.pdf,Boilerhouse,50-2004A Banbridge High School  ,"eBCON, eBX, eBM404 x 4, eBM440, Touchscreen x 4,DSC1616 x 4, DFM440, DSC1180 x1",8,11-2-2020,11,2,2020,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Un-Satisfactory,Satisfactory,36,0,4,60,0,0,"Summer HTG,School DHW,School Htg,Fan Convectors,Library/Admin Htg,Changing Room Htg,Sports Hall Htg,Assembly Hall",8,8,"Boiler 1 and 5 showing A01,Boiler 8 and 14 Showing A01,Panel Lamps Plant/Kitchen/Sports,Changing Room UFH Pump 1,School Constant Pump 2,Supply Fan Inverter,HE Multipurpose Valve",Panel Isolator,"Other to further,Others to Further,Replace,Others to Further,Others to Further,Further Investiagtion Required,Replace and commission,Replace"
68,Bleary PS\50-0030A Bleary PS Lurgan.pdf,Bleary Ps,50-0030A ,"eBCON x 1, eBX x 1, eBM440 x 4, eBM D800 x 1, eTOUCH x1",5,4-2-2020,4,2,2020,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,N/A,10,6,8,8,0,0,"School Htg,Multipurpose Hall Htg,School DHW,Kitchen Htg,Kitchen DHW",5,1,Poor/Faulty,Replace,"Other to further,Others to Further,Replace,Others to Further,Others to Further,Further Investiagtion Required,Replace and commission,Replace"
69,Bocombra PS\50-0032A Bocombra PS.pdf,Boilerhouse,Bocombra PS 50-0032A ,"Priva HX4 x 1, RO8 x 2, UI8 x 1,DI12 x 1, Keypad x 1",5,20-3-2020,20,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,7,2,0,8,0,0,"School Htg,Ass Hall Htg,Extension Htg,School DHW",4,0,,,
70,Bronte PS\50-0174A Bronte PS.pdf,Boilerhouse,Bronte PS 50-0174A ,"IQ241 x 1, IQ210 x 1, Trend Network x 1, Trend NDP x 1",4,13-3-2020,13,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,13,9,2,10,0,0,"Sch rad Htg,Ass Hall/ Manifold Htg,School DHW",3,1,DHW Valve,Signs of water leaking onto Actuator,Replace
71,Carrick PS Lurgan\50-0040A Carrick PS Lurgan Boilerhouse.pdf,Boilerhouse,Carrick PS (Lurgan) 50-0040A ,"IQ4E x 1, IQ131 x 1, IQ220 x 1, NDP x 1, Trend Network controller x 1",5,18-3-2020,18,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,14,6,6,6,0,0,"Kitchen Htg,School Htg,School Rad Circuit,DHW,North Wing Htg,Infant Block Htg",6,1,Panel Lamps,Poor/Faulty,Replace
72,Ceara SS\50-3008A Ceara Special School Boilerhouse.pdf,Boilerhouse,50-3008A Ceara Special School ,"Trend IQ 251, 8x modules And touchscreen",2,10-2-2020,10,2,2020,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,27,23,5,33,0,0,"Manifold 2-5 HTG,School DHW,Kitchen HTG,Kitchen DHW,Kitchen Supply Fan",5,4,"Manifold 2,Manifold 3","Oda Sensor out of calibration,Boiler Return Sensor Out of calibration,1 Telehead Faulty,3 Teleheads Faulty","Replace,Replace,Replace,Replace"
73,Ceara SS\50-3008A Ceara SS Extension Manifold 1.pdf,Extension Manifold 1,50-3008A Ceara School ,2 x IQEC038,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,13,13,0,7,0,0,,,1,Mixing valve,Actuator hanging off valve,Investigate further
74,Ceara SS\50-3008A Ceara SS Extension Manifold 2.pdf,Extension Manifold 2,50-3008A Ceara School ,2x IQEco38,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,14,13,0,8,0,0,,,1,Mixing valve,Actuator hanging off valve,investigate further
75,Ceara SS\50-3008A Ceara SS Extension Manifold 3.pdf,Extension Manifold 3,50-3008A Ceara School ,2 x IQEco38,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,10,13,0,6,0,0,,,0,,,
76,Ceara SS\50-3008A Ceara SS Extension Manifold 4.pdf,Extension Manifold 4,50-3008A Ceara School ,2x IQ Eco38,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,8,13,0,6,0,0,,,0,,,
77,Ceara SS\50-3008A Ceara SS Extension Manifold 5.pdf,Extension Manifold 5,50-3008A Ceara School ,2 x IQEco30,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,10,13,0,6,0,0,,,1,Mixing valve,CO2 Sensor faulty,replace
78,Ceara SS\50-3008A Ceara SS Manifold 1.pdf,Manifold 1,50-3008A ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,4,1,1,5,0,0,Manifold 1 Htg,1,0,,,
79,Ceara SS\50-3008A Ceara SS Manifold 10.pdf,Manifold 10,50-3008A Ceara School ,2 x IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,5,1,2,6,0,0,Manifold 10 Htg,1,0,,,
80,Ceara SS\50-3008A Ceara SS Manifold 12.pdf,Manifold 12,50-3008A ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,5,1,2,5,0,0,Manifold 12 Htg,1,0,,,
81,Ceara SS\50-3008A Ceara SS Manifold 13.pdf,Manifold 13,50-3008A ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,5,1,1,6,0,0,Manifold 12 Htg,1,0,,,
82,Ceara SS\50-3008A Ceara SS Manifold 14.pdf,Manifold 14,50-3008A ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,5,1,1,5,0,0,Manifold 12 Htg,1,0,,,
83,Ceara SS\50-3008A Ceara SS Manifold 14_15.pdf,Manifold 14/15,50-3008A ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,4,1,1,4,0,0,Manifold 14/15 Htg,1,0,,,
84,Ceara SS\50-3008A Ceara SS Manifold 15.pdf,Manifold 15,50-3008A ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,5,1,0,4,0,0,,,0,,,
85,Ceara SS\50-3008A Ceara SS Manifold 16.pdf,Manifold 16,50-3008A Ceara School ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,6,1,0,7,0,0,Man 16 HTG,1,0,,,
86,Ceara SS\50-3008A Ceara SS Manifold 17 LHS.pdf,Manifold 17 LHS,50-3008A Cears School ,3Excite,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,9,13,0,6,0,0,,,0,,,
87,Ceara SS\50-3008A Ceara SS Manifold 18 RHS.pdf,Manifold 18 RHS,50-3008A Cears School ,IQ3Excite,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,5,3,0,5,0,0,,,1,Mixing valve,Room Stat Located directly above coover,relocate.
88,Ceara SS\50-3008A Ceara SS Manifold 6.pdf,Manifold 6,50-3008A ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,4,1,1,4,0,0,Manifold 6 Htg,1,2,Mixing valve,"1 Telehead Faulty,Signs of leaks onto VT actuator","Replace,Mech rep to further"
89,Ceara SS\50-3008A Ceara SS Manifold 7.pdf,Manifold 7,50-3008A ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,6,1,1,6,0,0,Manifold 7 Htg,1,0,,,
90,Ceara SS\50-3008A Ceara SS Manifold 8.pdf,Manifold 8/9,50-3008A ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,5,1,1,5,0,0,Manifold 8 Htg,1,0,,,
91,Ceara SS\50-3008A Ceara SS Manifold 9.pdf,Manifold 9/10,50-3008A Ceara School ,IQ220,1,10-2-2020,10,2,2020,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,Satisfactory,Satisfactory,N/A,6,0,1,6,0,0,Manifold 9 Htg,1,0,,,
92,Dickson PS\50-0062A Dickson PS Boilerhouse.pdf,Boilerhouse,50-0062A Dickson PS ,"IQ241 x 1, IQ 210 x 1, NDP x 1",3,16-3-2020,16,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,8,7,2,9,0,0,"Main Sch Htg,Main Sch DHW,Frenger Htg",3,3,"BEV 2,Panel Lights,Frenger Valve","Disconnected from valve Spindle,12Green, 5 Red, 10 amber, 1 White,Faulty","Replace,Replace all,Replace"
93,Donacloney PS\50-0064A Donacloney PS.pdf,Boilerhouse,Donacloney PS 50-0064A ,"IQE3xcite x 1, 8DO x 1, 8UI x 2, 8DI x 1,16DI x 1,2UI/2Ao x 1, TMN x 1, IQEView x 2",8,18-3-2020,18,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,20,0,0,12,0,0,"Zone 1 Htg,School DHW,Ass Hall Htg,Classroom 7 Htg,Classroom 8 Htg",5,1,VT Valve,Faulty,Replace and commission
94,Donard SS\Donard SCS Boilerhouse.pdf,BoilerHouse,50-3010A Donard SCS ,"iqview8, iq242, iq221, iq412 (extension)",4,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,5,13,2,14,2,0,"Block A Htg,Block B Htg,Block C Htg,School DHW,SMK",5,3,"smk sec pump,sch dhw pri pump,oil drop valve","pump tripped - unable to reset,pump tripping,new cable have been pulled - not terminated","replace DOL 0.6 - 1.0a,mech rep to further replacement pump,trace cables and terminate - LMS & WMC"
95,Donard SS\Donard SCS UFH Man1 Zone3.pdf,UFH Manifold M1 - Z3,50-3010A Donard SCS ,trend iq221,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,5,0,6,1,0,0,,,2,"Hygene Room temp,Hygene tele head","sensor faulty,faulty tele head","being repaired under CN - in hand,Replace"
96,Donard SS\Donard SCS UFH Man1 Zone3b.pdf,UFH Manifold M1 - Z3b,50-3010A Donard SCS ,Trend Iq212,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,1,0,1,0,0,0,,,0,,,
97,Donard SS\Donard SCS UFH Man10 Zone3.pdf,UFH Manifold M10 - Z3,50-3010A Donard SCS ,trend iq221,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,4,0,5,1,0,0,,,0,,,
98,Donard SS\Donard SCS UFH Man11 Ext.pdf,UFH Manifold M11 Ext,50-3010A Donard SCS ,trend iq4e,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,7,3,1,7,0,0,UFH,1,0,,,
99,Donard SS\Donard SCS UFH Man12 Ext.pdf,UFH Manifold M12 Ext,50-3010A Donard SCS ,trend iq4e,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,5,3,1,5,0,0,UFH,1,0,,,
100,Donard SS\Donard SCS UFH Man13 Ext.pdf,UFH Manifold M13 Ext,50-3010A Donard SCS ,trend iq4e,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,6,3,1,6,0,0,UFH,1,0,,,
101,Donard SS\Donard SCS UFH Man14 dining Area.pdf,UFH Manifold M14 Dining Area,50-3010A Donard SCS ,trend iq412,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,3,0,1,3,0,0,Dininghall HTG,1,0,,,
102,Donard SS\Donard SCS UFH Man15 Ext.pdf,UFH Manifold M15 Ext,50-3010A Donard SCS ,Trend iq4e,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,4,3,1,4,0,0,UFH,1,0,,,
103,Donard SS\Donard SCS UFH Man2 Zone3.pdf,UFH Manifold M2 - Z3,50-3010A Donard SCS ,Trend Iq221,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,5,0,5,1,0,0,,,0,,,
104,Donard SS\Donard SCS UFH Man3 Zone3.pdf,UFH Manifold M3 - Z3,50-3010A Donard SCS ,Trend Iq221,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,5,0,6,1,0,0,,,0,,,
105,Donard SS\Donard SCS UFH Man4 Zone1.pdf,UFH Manifold M4 - Z1,50-3010A Donard SCS ,Trend iq221,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,4,0,5,1,0,0,,,1,interview room,sensor low temp - apx 4oC known as soft play room,replace and commission thinmble sensor 10k3
106,Donard SS\Donard SCS UFH Man5 Zone2_3.pdf,UFH Manifold M5 Z2/3,50-3010A Donard SCS ,trend iq221,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,2,0,4,1,0,0,,,1,teleheads,2 x heads removed,replace and test
107,Donard SS\Donard SCS UFH Man6 Zone2.pdf,UFH Manifold M6 - Z2,50-3010A Donard SCS ,trend iq221,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,2,0,3,1,0,0,,,1,Girls Changing,faulty Tele head,Replace
108,Donard SS\Donard SCS UFH Man7 Zone2.pdf,UFH Manifold M7 - Z2,50-3010A Donard SCS ,trend iq412,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,2,0,3,0,0,0,,,0,,,
109,Donard SS\Donard SCS UFH Man7 Zone3.pdf,UFH Manifold M7 - Z3,50-3010A Donard SCS ,trend iq221,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,4,0,6,1,0,0,,,0,,,
110,Donard SS\Donard SCS UFH Man8 Zone3.pdf,UFH Manifold M8 - Z3,50-3010A Donard SCS ,trend iq221,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,4,0,5,1,0,0,,,2,"Rm 19,Rm 18","Faulty sensor,Faulty sensor",Replace
111,Donard SS\Donard SCS UFH Man9 Zone3.pdf,UFH Manifold M9 - Z3,50-3010A Donard SCS ,trend iq221,1,13-1-2020,13,1,2020,N/A,Satisfactory,N/A,N/A,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,4,0,6,1,0,0,,,0,,,
112,Downshire NS\50-1004A Downshire NS Boilerhouse.pdf,Boilerhouse,Downshire NS 50-1004A ,"1 x EBMngr, 1 x Mix 38, 1 x Etouch",3,11-3-2020,11,3,2020,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,6,4,1,4,0,0,"Htg Sch,DHW Sch",2,0,,,
113,Dromore NS\50-1014A Dromore NS.pdf,Boilerhouse,50-1014A Dromore NS ,"Allen-Martin Odyssey 12,Keypad",2,7-2-2020,7,2,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,N/A,N/A,7,2,1,11,0,0,"Zone 1,Zone 2,DHW",3,4,"Rm 19,Rm 18","Vt Actuator taped together with insulation tape,All Panel lights not working,Manifold 1 Teleheads 3/9 hanging off,Manifold 2 Teleheads 2/6 Hanging off","Replace actuator and linkage,replace,other to further,other to further"
114,Dromore Road PS Warrenpoint\50-0072A Dromore Road PS Warrenpoint.pdf,Boilerhouse,50-0072A Dromore Road Ps Warrenpoint ,"Allen Martin Odyssey 12,Allen Martin Odyssey Keypad",2,19-3-2020,19,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Un-Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,N/A,6,5,1,10,0,0,"School Room HTG,Dining Hall HTG,DHW",3,4,"1,2,3,4","2nd Stage Frost Not opertating when tested,3rd Stage Frost not installed,Heat Dissipation instantanious,Asbestos warnings on BH door and walls","programme,install.,programme for longer,avoid destructive works"
115,Drumadonnell PS\50-0176A Drumadonnell PS Boilerhouse.pdf,Boilerhouse,50-0176A Drumadonnell PS ,"Trend IQ250 x 1, 7 x trend Modules, 2 x DP",3,13-3-2020,13,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,13,13,5,7,0,0,"School Htg,Assembly Hall Htg",2,2,"Ass Hall VT Valve,Sch VT Valve","Faulty, not driving,Driving sporadically, needs replace for reliability","Replace and Commission,Replace and Commission"
116,Drumnamoe NS\50-1020A Drumnamoe Ns.pdf,Boilerhouse,50-1020A Drumnamoe NS  ,"Delta eBX, iSMA, touchscreen",3,11-11-2019,11,11,2019,N/A,Satisfactory,Satisfactory,Satisfactory,N/A,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,N/A,6,1,1,17,0,0,"School UFH,Kitchen CT,DHW",3,1,Panel Light,1 green and 1 amber faulty,replace
117,Dumgor PS\50-0074A Drumgor PS.pdf,Boilerhouse,Drumgor PS 50-0074A ,"AM Odyssey x 1, Keypad x 1",2,19-3-2020,19,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,5,0,0,8,0,0,"School Htg,Ass Hall Htg,DHW",3,0,,,
118,Dungannon PS\Dungannon PS.pdf,Boilerhouse,Dungannnon PS 50-0080A ,"Trend IQ100+ x2, Trend Modem, Keypad x2",3,25-10-2019,25,10,2019,N/A,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,9,5,0,10,0,0,"Sch Heating,DHW System,2nd Storey,Hall Heating,SMK Heating",5,5,"Boiler Return,DHW Sensor,Class Sensor,Mod Valve,DHW Valve","Input corrupt,Damaged sensor or cable due to on going works,Cable was cut and burried in wall during a refurb,Damaged due to ongoing works,Removed and incorrectly left valve position with ongoingworks","Replace cable & Sensor,Replace Cable & sensor,Covered in on going callout?,Covered in on going callout?"
119,Edenderry PS Portadown\50-0084A Edenderry PS Portadown.pdf,Boilerhouse,Edenderry PS Portadown 50-0084A ,"AM Odyssey x 1, AM Keypad x 1",2,20-3-2020,20,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,8,2,0,5,0,0,"School Htg,Hall Htg,DHW",3,1,Panel Lamps,Poor/Faulty,Replace all
120,Fairhill PS\50-0088A Fairhill PS.pdf,Boilerhouse,50-0088A Fairhill PS ,"Compri HX4, R04, UI8, priva touchscreen",4,7-2-2020,7,2,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,4,2,2,15,0,0,"Junior Block,Senior Block,Hall,DHW",4,2,Panel Lamps,"Jnr & Snr Block Mixed Flow senso r values not readable from touchscreen,Jnr And Snr Blok Actuators not modualting when tested",Replace Valves actuators and linkage kits
